model,experiment_type,.metric,.estimator,mean,n,std_err,.config,mtry,min_n,tree_depth,learn_rate,loss_reduction
linear_regression,resampling_baseline,mae,standard,0.6549894036497774,3,0.004692928244799404,pre0_mod0_post0,NA,NA,NA,NA,NA
linear_regression,resampling_baseline,rmse,standard,0.8884291148018831,3,0.009509138400891539,pre0_mod0_post0,NA,NA,NA,NA,NA
linear_regression,resampling_baseline,rsq,standard,0.42989761679320804,3,0.008228702663776696,pre0_mod0_post0,NA,NA,NA,NA,NA
random_forest,hyperparameter_tuning,mae,standard,0.5274246156689208,3,0.004323944284035416,pre0_mod1_post0,3,5,NA,NA,NA
random_forest,hyperparameter_tuning,rmse,standard,0.7460381662331838,3,0.0046457892347503945,pre0_mod1_post0,3,5,NA,NA,NA
random_forest,hyperparameter_tuning,rsq,standard,0.6098298720499297,3,0.003451567477662763,pre0_mod1_post0,3,5,NA,NA,NA
random_forest,hyperparameter_tuning,mae,standard,0.5281301036576335,3,0.003771581143728257,pre0_mod2_post0,3,17,NA,NA,NA
random_forest,hyperparameter_tuning,rmse,standard,0.7468235098311253,3,0.004319406642546484,pre0_mod2_post0,3,17,NA,NA,NA
random_forest,hyperparameter_tuning,rsq,standard,0.6092490087277833,3,0.0035651960243518765,pre0_mod2_post0,3,17,NA,NA,NA
random_forest,hyperparameter_tuning,mae,standard,0.5285376089546631,3,0.004515818368111715,pre0_mod3_post0,3,30,NA,NA,NA
random_forest,hyperparameter_tuning,rmse,standard,0.7483311657602477,3,0.005405602336858557,pre0_mod3_post0,3,30,NA,NA,NA
random_forest,hyperparameter_tuning,rsq,standard,0.6080097574385079,3,0.004315614517130786,pre0_mod3_post0,3,30,NA,NA,NA
random_forest,hyperparameter_tuning,mae,standard,0.49970797408790785,3,0.001130332386767641,pre0_mod4_post0,7,5,NA,NA,NA
random_forest,hyperparameter_tuning,rmse,standard,0.7194143421223231,3,0.0035690128024396407,pre0_mod4_post0,7,5,NA,NA,NA
random_forest,hyperparameter_tuning,rsq,standard,0.626007133716788,3,0.0053260685065190045,pre0_mod4_post0,7,5,NA,NA,NA
random_forest,hyperparameter_tuning,mae,standard,0.49764940906657734,3,0.001314123877981423,pre0_mod5_post0,7,17,NA,NA,NA
random_forest,hyperparameter_tuning,rmse,standard,0.7178892424181713,3,0.003076437810397679,pre0_mod5_post0,7,17,NA,NA,NA
random_forest,hyperparameter_tuning,rsq,standard,0.6279272560874722,3,0.0049476892182439974,pre0_mod5_post0,7,17,NA,NA,NA
random_forest,hyperparameter_tuning,mae,standard,0.4978317320172467,3,0.0017096168277799825,pre0_mod6_post0,7,30,NA,NA,NA
random_forest,hyperparameter_tuning,rmse,standard,0.7184114471885753,3,0.003542102255193687,pre0_mod6_post0,7,30,NA,NA,NA
random_forest,hyperparameter_tuning,rsq,standard,0.6277762968852196,3,0.004974158811857235,pre0_mod6_post0,7,30,NA,NA,NA
random_forest,hyperparameter_tuning,mae,standard,0.5071491101393214,3,0.0017913743981385975,pre0_mod7_post0,12,5,NA,NA,NA
random_forest,hyperparameter_tuning,rmse,standard,0.7292080480243709,3,0.0035516619214272663,pre0_mod7_post0,12,5,NA,NA,NA
random_forest,hyperparameter_tuning,rsq,standard,0.6165232029747536,3,0.005663322834572557,pre0_mod7_post0,12,5,NA,NA,NA
random_forest,hyperparameter_tuning,mae,standard,0.4975527625101217,3,0.0018397109662974128,pre0_mod8_post0,12,17,NA,NA,NA
random_forest,hyperparameter_tuning,rmse,standard,0.7182206110860823,3,0.0034048327036916375,pre0_mod8_post0,12,17,NA,NA,NA
random_forest,hyperparameter_tuning,rsq,standard,0.6272729940570639,3,0.00532108818366394,pre0_mod8_post0,12,17,NA,NA,NA
random_forest,hyperparameter_tuning,mae,standard,0.4953468361675374,3,0.0018892537166899297,pre0_mod9_post0,12,30,NA,NA,NA
random_forest,hyperparameter_tuning,rmse,standard,0.7156713517892968,3,0.0028231061938722335,pre0_mod9_post0,12,30,NA,NA,NA
random_forest,hyperparameter_tuning,rsq,standard,0.6299074832530871,3,0.0045125871749849035,pre0_mod9_post0,12,30,NA,NA,NA
xgboost,hyperparameter_tuning,mae,standard,0.8239869580627814,3,0.0033819703643102016,pre0_mod1_post0,3,17,4,0.0020832955882535854,0.0018441475791525404
xgboost,hyperparameter_tuning,rmse,standard,1.0789706028594577,3,0.002767964704147215,pre0_mod1_post0,3,17,4,0.0020832955882535854,0.0018441475791525404
xgboost,hyperparameter_tuning,rsq,standard,0.5141351501156384,3,0.006866202311119449,pre0_mod1_post0,3,17,4,0.0020832955882535854,0.0018441475791525404
xgboost,hyperparameter_tuning,mae,standard,0.5033566345801537,3,0.001729788690495806,pre0_mod2_post0,5,26,8,0.023824280429493635,4.7646389653242795e-5
xgboost,hyperparameter_tuning,rmse,standard,0.7228035828288741,3,0.003222713982980013,pre0_mod2_post0,5,26,8,0.023824280429493635,4.7646389653242795e-5
xgboost,hyperparameter_tuning,rsq,standard,0.6267875984168431,3,0.003823175336245069,pre0_mod2_post0,5,26,8,0.023824280429493635,4.7646389653242795e-5
xgboost,hyperparameter_tuning,mae,standard,0.5548863916387813,3,0.0034789908862736026,pre0_mod3_post0,7,12,7,0.011303466099458972,0.007694953286076534
xgboost,hyperparameter_tuning,rmse,standard,0.772383311715786,3,0.003904883820676936,pre0_mod3_post0,7,12,7,0.011303466099458972,0.007694953286076534
xgboost,hyperparameter_tuning,rsq,standard,0.6100183249515322,3,0.0028900192211569332,pre0_mod3_post0,7,12,7,0.011303466099458972,0.007694953286076534
xgboost,hyperparameter_tuning,mae,standard,0.774366036533795,3,0.0021916878066657168,pre0_mod4_post0,9,23,5,0.0024832254724319394,0.40278856064963414
xgboost,hyperparameter_tuning,rmse,standard,1.0156473681613631,3,0.004481679079475301,pre0_mod4_post0,9,23,5,0.0024832254724319394,0.40278856064963414
xgboost,hyperparameter_tuning,rsq,standard,0.5577849929822424,3,0.0016166480070872922,pre0_mod4_post0,9,23,5,0.0024832254724319394,0.40278856064963414
