state,town,listings,median_actual_price,median_predicted_price,median_price_gap_percent,data_quality_review_count,potential_opportunity_count,close_to_estimate_count,above_estimate_count
Lagos,Lekki,652,94999999.99999987,99538940.16121191,-0.09189268777869256,6,249,179,218
Lagos,Ajah,248,49500000.00000002,65014430.900378495,-0.12226556576075115,0,111,81,56
Lagos,Ikoyi,185,570000000.0000005,581607766.2068447,0.04592296695882036,3,49,59,74
Lagos,Ikeja,98,129999999.99999997,111150934.22584523,0.029146150534899554,0,33,26,39
Oyo,Ibadan,88,31500000.00000003,32977513.79465866,-0.06509643092526585,3,31,24,30
Rivers,Port Harcourt,85,65000000.00000007,68656097.0204178,0.015569731840866024,0,36,15,34
Abuja,Gwarinpa,74,79999999.99999988,91038555.32753134,-0.04232681307308307,1,24,21,28
Lagos,Victoria Island (Vi),68,214999999.99999982,165001465.55606744,0.17821284819316524,0,10,26,32
Lagos,Ibeju Lekki,62,28749999.999999978,28475370.368205473,0.019157538431490963,0,22,23,17
Lagos,Magodo,50,119999999.9999999,79647535.02621834,0.4011942402845688,2,8,8,32
Abuja,Life Camp,47,65000000.00000007,72335983.58332665,-0.17522709690609914,0,23,18,6
Abuja,Guzape District,46,119999999.9999999,114322106.91032697,0.11712932590232308,0,11,16,19
Abuja,Maitama District,45,699999999.9999998,547925942.2913554,0.18162021711300466,1,10,12,22
Imo,Owerri Municipal,41,55000000.000000075,66847297.39484768,-0.07326504487760617,0,18,6,17
Abuja,Katampe,39,190000000.00000027,175183775.1632981,0.1346810308044518,0,12,10,17
Abuja,Lugbe District,36,38000000.000000015,46779256.490475915,-0.12021267252075524,1,13,18,4
Abuja,Lokogoma District,34,49500000.00000002,61971581.525349334,-0.22159367909850813,0,18,8,8
Lagos,Ikorodu,34,22400000.000000007,23058693.88548808,-0.0013412703122527188,0,8,13,13
Abuja,Wuye,31,79999999.99999988,73460676.31355269,0.09032270244157928,0,8,9,14
Lagos,Isheri North,31,133999999.99999978,101218362.53638677,0.1975105706809553,0,6,10,15
Lagos,Alimosho,28,35000000.000000015,37434064.50291205,-0.0413450652462238,0,13,9,6
Lagos,Surulere,27,65000000.00000007,55711394.25919268,0.22459446452573975,0,3,9,15
Abuja,Asokoro District,27,350000000.00000036,131009780.58911616,1.4452156374411025,0,1,5,21
Enugu,Enugu,25,50000000.00000009,50980995.36613547,0.13055297629543838,0,6,9,10
Ogun,Mowe Ofada,23,10499999.999999994,13763312.472080477,-0.20218480997818694,0,12,8,3
Abuja,Apo,22,89999999.99999996,92865598.27887233,-0.22210190038922561,0,11,3,8
Abuja,Jahi,22,69999999.99999991,70608453.41163981,0.006413613346456998,0,2,14,6
Abuja,Galadimawa,20,44000000,71410519.66971897,-0.41845905823107754,0,13,3,4
Lagos,Ipaja,19,24999999.999999963,30791292.778380774,-0.2918972168794413,0,13,3,3
Lagos,Agege,19,30000000.00000005,39085800.90693265,-0.267967503845808,1,11,4,3
Lagos,Ikotun,17,22999999.999999974,36895747.01991148,-0.5805093616505017,2,13,2,0
Abuja,Jabi,17,164999999.99999976,70608453.41163981,1.4312399413123211,0,0,2,15
Edo,Oredo,16,35000000.000000015,42452085.685388416,-0.30810359449260427,1,8,4,3
Abuja,Kubwa,15,26999999.999999993,44648710.79942818,-0.3315193250008806,0,11,3,1
Lagos,Isolo,15,50000000.00000009,89825655.09358305,-0.1388940588289153,0,6,7,2
Ogun,Mowe Town,15,11000000.000000013,13352282.171507068,0.05579734149206232,1,4,8,2
Abuja,Wuse,15,200000000.0000001,109732221.97870035,1.004880572296284,0,1,0,14
Ogun,Ifo,14,14000000.000000011,14616182.116987813,-0.17523228800837798,0,5,8,1
Abuja,Mabushi,14,134999999.9999999,107377302.08247027,0.36310577714910564,0,2,5,7
Lagos,Yaba,14,65000000,42554861.85254308,0.6510424088899289,0,0,2,12
Lagos,Gbagada,13,65000000.00000007,66569414.169339016,-0.023575604336049577,0,3,6,4
Abuja,Utako,12,119999999.9999999,74862658.48736721,0.28135484884913264,0,1,4,7
Abuja,Karmo,11,43000000.000000015,70900762.72496788,-0.39527929213253377,0,8,2,1
Ogun,Sango Ota,11,12499999.999999985,18191741.63606481,-0.3079796075006487,0,6,3,2
Delta,Asaba,11,39999999.999999985,62761421.45166171,-0.2122802424217793,0,7,1,3
Ogun,Arepo,11,39999999.999999985,31027406.033705372,0.9296596862855019,0,0,3,8
