bedrooms,bathrooms,toilets,parking_space,title,town,state,price,price_raw,price_winsorized,log_price,total_rooms,total_wet_rooms,bathroom_bedroom_ratio,toilet_bedroom_ratio,parking_per_bedroom,has_parking,market_hub,price_band
6,5,5,4,Detached Duplex,Mabushi,Abuja,450000000,450000000,450000000,19.92475814295086,16,10,0.8333333333333334,0.8333333333333334,0.6666666666666666,Has parking,Prime commercial hub,5
4,5,5,4,Terraced Duplexes,Katampe,Abuja,800000000,800000000,800000000,20.500122286882203,14,10,1.25,1.25,1,Has parking,Prime commercial hub,5
4,5,5,4,Detached Duplex,Lekki,Lagos,120000000,120000000,120000000,18.603002309079653,14,10,1.25,1.25,1,Has parking,Prime commercial hub,4
4,4,5,6,Detached Duplex,Ajah,Lagos,40000000,40000000,40000000,17.50439003707821,13,9,1,1.25,1.5,Has parking,Prime commercial hub,2
4,4,5,2,Semi Detached Duplex,Lekki,Lagos,75000000,75000000,75000000,18.132998684833918,13,9,1,1.25,0.5,Has parking,Prime commercial hub,3
5,5,6,1,Detached Duplex,Lekki,Lagos,450000000,450000000,450000000,19.92475814295086,16,11,1,1.2,0.2,Has parking,Prime commercial hub,5
4,5,5,4,Detached Duplex,Lekki,Lagos,65000000,65000000,65000000,17.989897843244528,14,10,1.25,1.25,1,Has parking,Prime commercial hub,3
2,2,3,6,Detached Bungalow,Epe,Lagos,12000000,12000000,12000000,16.300417291085605,7,5,1,1.5,3,Has parking,Prime commercial hub,1
1,1,1,1,Detached Duplex,Lekki,Lagos,200000000,200000000,200000000,19.11382792951231,3,2,1,1,1,Has parking,Prime commercial hub,4
4,4,5,5,Detached Duplex,Ajah,Lagos,60000000,60000000,60000000,17.909855136853043,13,9,1,1.25,1.25,Has parking,Prime commercial hub,2
3,4,5,4,Terraced Duplexes,Lokogoma District,Abuja,25000000,25000000,25000000,17.034386422832473,12,9,1.3333333333333333,1.6666666666666667,1.3333333333333333,Has parking,Prime commercial hub,1
6,6,6,4,Semi Detached Duplex,Oredo,Edo,45000000,45000000,45000000,17.622173069956816,18,12,1,1,0.6666666666666666,Has parking,Emerging market,2
4,5,6,3,Semi Detached Duplex,Lekki,Lagos,65000000,65000000,65000000,17.989897843244528,15,11,1.25,1.5,0.75,Has parking,Prime commercial hub,3
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,70000000,70000000,70000000,18.064005814299346,13,9,1,1.25,1,Has parking,Prime commercial hub,3
6,6,7,4,Detached Duplex,Victoria Island (Vi),Lagos,450000000,450000000,450000000,19.92475814295086,19,13,1,1.1666666666666667,0.6666666666666666,Has parking,Prime commercial hub,5
3,4,4,3,Detached Bungalow,Mowe Ofada,Ogun,12000000,12000000,12000000,16.300417291085605,11,8,1.3333333333333333,1.3333333333333333,1,Has parking,Major growth corridor,1
4,4,5,4,Terraced Duplexes,Lekki,Lagos,48000000,48000000,48000000,17.6867115897055,13,9,1,1.25,1,Has parking,Prime commercial hub,2
3,3,4,4,Detached Bungalow,Lokogoma District,Abuja,37000000,37000000,37000000,17.426428497635523,10,7,1,1.3333333333333333,1.3333333333333333,Has parking,Prime commercial hub,2
4,5,5,4,Detached Duplex,Victoria Island (Vi),Lagos,170000000,170000000,170000000,18.951309000896888,14,10,1.25,1.25,1,Has parking,Prime commercial hub,4
3,3,4,2,Block Of Flats,Ikeja,Lagos,350000000,350000000,350000000,19.673443715304877,10,7,1,1.3333333333333333,0.6666666666666666,Has parking,Prime commercial hub,5
5,5,6,5,Detached Duplex,Lekki,Lagos,85000000,85000000,85000000,18.258161826219297,16,11,1,1.2,1,Has parking,Prime commercial hub,3
3,3,4,4,Terraced Duplexes,Lekki,Lagos,34000000,34000000,34000000,17.341871111992198,10,7,1,1.3333333333333333,1.3333333333333333,Has parking,Prime commercial hub,2
4,5,5,2,Terraced Duplexes,Victoria Island (Vi),Lagos,130000000,130000000,130000000,18.683045016112164,14,10,1.25,1.25,0.5,Has parking,Prime commercial hub,4
5,6,7,6,Detached Duplex,Katampe,Abuja,160000000,160000000,160000000,18.8906843794481,18,13,1.2,1.4,1.2,Has parking,Prime commercial hub,4
4,4,5,3,Detached Duplex,Ajah,Lagos,60000000,60000000,60000000,17.909855136853043,13,9,1,1.25,0.75,Has parking,Prime commercial hub,2
5,5,5,4,Detached Duplex,Lekki,Lagos,270000000,270000000,270000000,19.413932520666354,15,10,1,1,0.8,Has parking,Prime commercial hub,5
5,6,5,4,Detached Duplex,Lekki,Lagos,250000000,250000000,250000000,19.33697147982652,16,11,1.2,1,0.8,Has parking,Prime commercial hub,5
4,4,5,5,Detached Duplex,Lekki,Lagos,180000000,180000000,180000000,19.00846741441004,13,9,1,1.25,1.25,Has parking,Prime commercial hub,4
6,8,8,3,Detached Duplex,Ikoyi,Lagos,850000000,850000000,850000000,20.560746908625106,22,16,1.3333333333333333,1.3333333333333333,0.5,Has parking,Prime commercial hub,5
4,4,5,4,Detached Duplex,Magodo,Lagos,140000000,140000000,140000000,18.757152987716434,13,9,1,1.25,1,Has parking,Prime commercial hub,4
5,5,6,4,Detached Duplex,Ikoyi,Lagos,700000000,700000000,700000000,20.36659089443625,16,11,1,1.2,0.8,Has parking,Prime commercial hub,5
2,3,5,4,Block Of Flats,Mowe Ofada,Ogun,7000000,7000000,7000000,15.76142084987672,10,8,1.5,2.5,2,Has parking,Major growth corridor,1
5,5,6,6,Detached Duplex,Kaura,Abuja,150000000,150000000,150000000,18.826145858727198,16,11,1,1.2,1.2,Has parking,Prime commercial hub,4
4,4,5,8,Detached Duplex,Galadimawa,Abuja,70000000,70000000,70000000,18.064005814299346,13,9,1,1.25,2,Has parking,Prime commercial hub,3
3,5,5,4,Terraced Duplexes,Ajah,Lagos,40000000,40000000,40000000,17.50439003707821,13,10,1.6666666666666667,1.6666666666666667,1.3333333333333333,Has parking,Prime commercial hub,2
5,5,6,1,Detached Duplex,Oredo,Edo,70000000,70000000,70000000,18.064005814299346,16,11,1,1.2,0.2,Has parking,Emerging market,3
